Timestep,Average Reward,C Loss,M Loss
100,-1.0972211125324338,1.92602,0.318769
200,-1.5565810222098975,1.45889,0.355382
300,-1.46261268175396,1.26673,0.475886
400,-1.4975325524933039,1.4001,0.298498
500,-1.3852172487834331,1.27574,0.23454
600,-1.0858944069437575,0.821891,0.207084
700,-1.2069826277805411,0.91683,0.232641
800,-1.0285873766434901,1.1482,0.265189
900,-2.1357317716000761,3.56711,0.326203
1000,-0.96260100279567684,1.16947,0.207306
1100,-1.2057561430878347,1.11706,0.335561
1200,-1.4507196739260813,1.89672,0.302288
1300,-1.3659481254970636,1.66727,0.262446
1400,-1.6429397882232035,2.2415,0.279698
1500,-1.3803045847348607,1.62945,0.484802
1600,-1.268381825473095,1.59545,0.278925
1700,-1.5730133918185438,2.00782,0.270229
1800,-1.1125115493825672,1.35909,0.23043
1900,-1.5139139365259775,2.00224,0.300344
2000,-1.5848418820963059,1.91483,0.374353
2100,-1.184768785420047,0.991384,0.293461
2200,-1.5232118109667152,2.0429,0.30475
2300,-1.432669251329364,1.81067,0.374336
2400,-1.4246177063086236,2.02095,0.430014
2500,-1.2321969170008025,1.55651,0.319788
2600,-1.3664330122884711,1.8583,0.32289
2700,-0.99412488446722536,0.970103,0.259991
2800,-1.5027269913164394,2.00359,0.417325
2900,-1.9190305899044933,3.38943,0.445056
3000,-1.3984664613399387,1.58006,0.360664
3100,-1.8561750770119436,3.50192,0.278528
3200,-1.5563093478901939,2.04531,0.32426
3300,-1.3063271160560723,1.8766,0.26937
3400,-1.3494201869060063,1.85445,0.38934
3500,-1.1600062090599117,1.41606,0.363908
3600,-0.98366368586178876,1.13157,0.122312
3700,-1.2362036219613619,1.94854,0.341171
3800,-1.8798011124841261,3.45848,0.323285
3900,-1.1740724477845754,1.56038,0.134747
4000,-1.1724701065829679,1.33301,0.152329
4100,-1.4667358699105533,2.30112,0.188771
4200,-1.3103750494725255,1.67874,0.30927
4300,-1.3851645169342341,2.12022,0.328114
4400,-1.2696707835635377,1.75777,0.348099
4500,-1.2622924079409918,1.35722,0.270664
4600,-1.6807214689303631,2.8171,0.267296
4700,-1.9580114506474799,3.71214,0.412687
4800,-1.2531571226561777,1.39183,0.32042
4900,-1.8258366792601235,3.24152,0.261552
5000,-0.99692373206392271,1.03523,0.18272
5100,-0.98639257294540017,0.990434,0.219263
5200,-1.4226442951918412,2.12882,0.165884
5300,-1.3569080501918089,2.07029,0.436659
5400,-1.5608187612850983,2.34717,0.280792
5500,-1.3297674506953969,1.87477,0.323616
5600,-1.3117155540257373,1.82673,0.434026
5700,-1.3183957261866885,1.93941,0.253435
5800,-1.6068681538210188,2.5676,0.214839
5900,-1.0884976819236125,1.06909,0.285557
6000,-1.5963085714949081,2.59571,0.285168
6100,-1.4502226734143426,2.01584,0.285534
6200,-1.490710373657387,2.12494,0.408832
6300,-1.3243727810430044,1.60669,0.225095
6400,-1.9029651195615398,3.22033,0.378777
6500,-1.3666534973334341,2.00173,0.276647
6600,-1.204549108491374,1.72142,0.336794
6700,-1.3431073397299735,1.8953,0.237324
6800,-1.1511291921683506,1.23311,0.23348
6900,-1.4518317318420253,2.29268,0.265736
7000,-1.2149689153608876,1.46542,0.397268
7100,-1.6714264274609456,2.66578,0.335733
7200,-1.6783283680695609,2.78015,0.274009
7300,-1.4285473778939533,2.29058,0.216084
7400,-1.4654239713004549,2.66982,0.396193
7500,-1.436896311613292,1.92233,0.268856
7600,-0.90814667248123526,0.735089,0.276174
7700,-1.1727203326854752,1.29204,0.200046
7800,-1.0842481456544286,0.93752,0.261598
7900,-1.3920291305375221,1.63809,0.243205
8000,-1.4861879523574324,1.99634,0.309333
8100,-1.3157040659317634,1.67479,0.356012
8200,-1.526698950914241,2.13276,0.195763
8300,-1.1055638871030853,0.963346,0.339649
8400,-1.789324963827376,2.51123,0.378434
8500,-1.1154965658239191,0.984037,0.305814
8600,-1.0362121862763438,0.742253,0.322993
8700,-1.2133314784328886,1.15764,0.246125
8800,-1.4790585530833726,2.02919,0.283588
8900,-1.5357160990546788,2.25069,0.247352
9000,-1.3995222353299925,1.57657,0.278288
9100,-1.2070255642036629,1.72224,0.261404
9200,-1.512151046503756,2.22513,0.378329
9300,-2.1197015191380069,3.62674,0.353532
9400,-1.3744937460336424,1.43712,0.25814
9500,-1.1294216339078471,1.09912,0.218306
9600,-1.4128263609084379,1.84215,0.289523
9700,-1.1464157588295811,0.947058,0.312617
9800,-1.3617946172086202,2.03006,0.278669
9900,-1.0129580761097527,1.01606,0.212206
10000,-1.2632654361690374,1.42524,0.271671
10100,-1.2255416393374605,1.6367,0.369925
10200,-1.3890899729389481,1.80228,0.312913
10300,-1.4063581055804488,1.97907,0.19891
10400,-1.1227113291997404,1.21356,0.224441
10500,-1.5594034213868013,2.41139,0.181091
10600,-1.3310297532844226,1.66007,0.301453
10700,-1.3133656589724716,2.13498,0.412309
10800,-1.8193615672161472,3.12773,0.361581
10900,-1.063139977374659,1.06602,0.318247
11000,-1.6741462083917398,2.47536,0.189601
11100,-1.6385855252651862,2.51731,0.362054
11200,-1.2756870192708925,1.67953,0.241172
11300,-1.2731734378564554,1.78537,0.340355
11400,-0.9917173997454104,0.836091,0.195975
11500,-1.5825973512462141,2.49934,0.297819
11600,-0.98280018350795562,1.13888,0.169708
11700,-1.5879088363676899,2.3858,0.451603
11800,-1.4505518800695896,1.87595,0.309863
11900,-1.2744060093766338,1.44224,0.186621
12000,-1.9427952340160786,3.53815,0.338781
12100,-1.4941717603773135,1.94035,0.216436
12200,-1.3085768445856454,1.75666,0.181733
12300,-1.5503867113137637,2.0946,0.292595
12400,-1.7702230351543593,3.12842,0.345404
12500,-1.4828589791698825,2.5126,0.222714
12600,-1.2079895513991081,1.23929,0.29521
12700,-1.5490434006892846,2.14893,0.264046
12800,-1.9631298767039667,3.4776,0.373407
12900,-1.4785079788940518,2.17459,0.227624
13000,-1.2364582198760852,1.75901,0.239396
13100,-1.6806863612746106,2.70933,0.39101
13200,-1.0910628046623005,1.07236,0.308005
13300,-1.3877738503797181,1.78337,0.375819
13400,-1.613467214472867,2.66052,0.275652
13500,-1.368757946618727,1.8089,0.334827
13600,-1.1498466151896507,1.38726,0.285844
13700,-1.2114639830875324,1.42541,0.2139
13800,-1.3779961958913023,1.71702,0.241269
