Timestep,Average Reward,C Loss,M Loss
100,-101.56054287392394,16088.3,0
200,-90.449174461407807,12093.8,0
300,-102.34880550304024,15070.5,0
400,-112.71005301596387,18573.4,0
500,-129.67337012474098,22865.2,0
600,-115.61067224227517,17375.6,0
700,-110.82631415531492,18117.0,0
800,-96.245097832838979,13385.3,0
900,-103.66502158613102,15559.4,0
1000,-108.5963394644059,17620.9,0
1100,-124.84652807881979,20423.8,0
1200,-134.20014396276054,20463.2,0
1300,-136.09846508045933,25373.0,0
1400,-128.87991242879806,20596.8,0
1500,-99.551052052941088,13997.8,0
1600,-104.53385320951922,16097.9,0
1700,-112.70086265499293,17110.7,0
1800,-118.10376978675151,19756.8,0
1900,-118.59638468719174,19819.4,0
2000,-104.92688835991049,14653.3,0
2100,-116.27844173104106,19745.1,0
2200,-123.6831035889697,19042.0,0
2300,-115.82375543557185,15841.7,0
2400,-84.540611242803649,10821.0,0
2500,-146.99863905377524,24382.5,0
2600,-96.52690485594529,12657.2,0
2700,-143.30406616768084,26714.8,0
2800,-94.127472981220592,11944.2,0
2900,-110.26574569859896,17301.8,0
3000,-100.06058280645586,13495.6,0
3100,-92.290290454708114,12087.7,0
3200,-129.27634341281745,19978.4,0
3300,-147.91383473928332,24623.6,0
3400,-98.897977115128484,13242.2,0
3500,-102.56508340054616,14924.2,0
3600,-122.78572064637262,19631.4,0
3700,-107.86526304841423,15356.7,0
3800,-100.14277084470946,16586.7,0
3900,-89.79924811125376,12571.3,0
4000,-137.6979466302553,25658.1,0
4100,-107.16985434577455,14194.5,0
4200,-85.653211639627813,11509.4,0
4300,-110.34241424143531,17618.0,0
4400,-126.83114567990334,22639.5,0
4500,-94.535197415790719,12036.9,0
4600,-96.85029337014295,14181.3,0
4700,-117.32267289820464,17525.7,0
4800,-96.281844758598879,14036.4,0
4900,-95.668031540715745,12151.4,0
5000,-92.796076881629574,12091.1,0
5100,-145.25095353367118,25375.0,0
5200,-125.21230380152038,20323.5,0
5300,-111.8999990243243,16117.8,0
5400,-99.336808922659372,13688.1,0
5500,-107.34173377979769,15007.2,0
5600,-102.61807710321214,14240.8,0
5700,-143.80409670368942,23984.0,0
5800,-147.19468408693322,25404.6,0
5900,-132.49652313653095,20860.1,0
6000,-114.0560100588304,16221.4,0
6100,-106.9695577138298,15024.3,0
6200,-99.651573529679098,13105.5,0
6300,-104.91808630623881,15845.6,0
6400,-104.56466209732903,18277.6,0
6500,-93.810658147378319,13793.8,0
6600,-172.67313163814535,34610.9,0
6700,-143.92325891595925,25100.0,0
6800,-97.897454163391117,15403.8,0
6900,-114.24107373840305,16383.6,0
7000,-114.15778218253114,18474.1,0
7100,-89.077464555461518,11068.9,0
7200,-130.32835658501119,24033.3,0
7300,-153.27096163268649,30555.7,0
7400,-99.211211970990476,13990.2,0
7500,-97.150868960500134,12677.5,0
7600,-87.786086580373578,11295.3,0
7700,-150.11861028828562,27274.4,0
7800,-123.85100923901858,20865.8,0
7900,-134.21644201250973,22230.8,0
8000,-104.0355080218883,14541.3,0
8100,-136.35681747435194,25422.7,0
8200,-97.224253923394997,13438.9,0
8300,-165.44706089576567,32850.7,0
8400,-134.33018399554663,26443.9,0
8500,-145.07407959932777,27771.6,0
8600,-112.42860855186201,18077.9,0
8700,-112.45128724482396,19154.0,0
8800,-148.92372844576383,26662.4,0
8900,-172.5380301632137,33958.3,0
9000,-103.19928740712932,15629.8,0
9100,-143.42003907345136,22978.0,0
9200,-55.315231717629729,3690.07,0
9300,-118.11133862492169,18440.6,0
9400,-123.498438664315,19984.6,0
9500,-154.74902607049873,28135.4,0
9600,-103.06174761387689,15647.5,0
9700,-111.38655015779105,18973.2,0
9800,-144.30997133708581,25811.3,0
9900,-138.37126769394519,26099.0,0
10000,-149.08655768853177,28056.0,0
10100,-90.308910020014778,14835.3,0
10200,-63.1201992107544,4894.23,0
10300,-122.464473858673,21139.2,0
10400,-143.98782343678991,25775.3,0
10500,-147.90810199367809,27039.6,0
10600,-140.94751108571106,25242.9,0
10700,-131.75259860353529,22100.3,0
10800,-74.448683433727055,7771.38,0
10900,-120.74015078342292,22015.5,0
11000,-72.847492244344537,9158.92,0
11100,-123.31339251150679,19492.9,0
11200,-87.29600936388421,12468.8,0
11300,-123.28863352114895,19451.5,0
11400,-174.40070844351999,35911.7,0
11500,-146.08273158649695,24743.9,0
11600,-103.93722886353999,16250.2,0
11700,-116.29447593226521,16930.5,0
11800,-151.80082863181551,28250.9,0
11900,-141.37973935008293,24680.3,0
12000,-145.52453198304477,26008.9,0
12100,-129.75785016975661,20492.8,0
12200,-89.125232348541488,11187.8,0
12300,-132.54083670700902,22922.5,0
12400,-117.14298447121575,20982.9,0
12500,-128.7412760741669,21862.0,0
12600,-120.83833599600686,20676.2,0
12700,-145.73711200710852,25704.7,0
12800,-96.450354286175696,12261.2,0
12900,-108.44713661513858,15833.9,0
13000,-97.660438453930098,13395.7,0
13100,-134.20901615611058,24461.8,0
13200,-117.52823558808363,16608.4,0
