Timestep,Average Reward,C Loss,M Loss
100,-1814.0153610636255,4.56451e+06,4262.96
200,-1374.0555916674141,2.76764e+06,3336.9
300,-1686.3065239900336,3.95398e+06,6541.68
400,-1836.2101850909783,4.75183e+06,2752.57
500,-1138.3740545433423,1.86969e+06,2369.85
600,-1665.8181115174293,3.45324e+06,4053.66
700,-1894.0997648939594,4.61603e+06,6201.45
800,-2243.1093214940283,5.65134e+06,6386.37
900,-1469.5315218931462,2.84229e+06,2829.71
1000,-1809.6481931837188,4.33123e+06,6862.51
1100,-1439.374995122673,2.78675e+06,3185.78
1200,-1864.0061460734887,4.26896e+06,6212.51
1300,-1482.7511066113505,3.14141e+06,3994.75
1400,-2049.4649038796192,5.09241e+06,6023.18
1500,-1691.6037882178423,3.93462e+06,1751.83
1600,-1368.9604074088807,2.41956e+06,2213.39
1700,-1803.5620341020126,4.17777e+06,6116.07
1800,-1197.5127426332131,1.98738e+06,1541.45
1900,-2674.3809527563112,7.99313e+06,8304.98
2000,-2068.8374311805264,5.47444e+06,7791.25
2100,-1611.4860936178316,3.23114e+06,2834.13
2200,-1642.3320834099579,3.60919e+06,5803.08
2300,-1268.3542018320816,1.82634e+06,2378.23
2400,-2492.1156089402143,6.99033e+06,7911.06
2500,-1248.9406112432425,2.13872e+06,2461.23
2600,-1825.9199598159062,4.58429e+06,3637.16
2700,-1531.1712513846367,3.1264e+06,2195.08
2800,-1542.926929152906,3.28477e+06,2934.96
2900,-1283.2959677270189,2.13044e+06,1566.72
3000,-1090.643638257875,1.63423e+06,1995.05
3100,-1493.4329589963154,3.25252e+06,5068.32
3200,-1826.9421638965259,4.87557e+06,5511.37
3300,-1845.7259390012637,4.03216e+06,2410.91
3400,-2107.1602981739775,5.34922e+06,4300.85
3500,-1631.9341583469511,3.88586e+06,3867.41
3600,-2054.9514976251612,5.17305e+06,4238.49
3700,-1599.9673980029722,3.46222e+06,4145.03
3800,-1928.642703397586,4.93816e+06,6702.88
