Timestep,Average Reward,C Loss,M Loss
100,-24.821480290050918,757.433,3.64715
200,-22.210630202220798,626.128,6.43553
300,-26.33154422451657,773.038,6.696
400,-29.216091484528487,921.043,6.39396
500,-20.375037356508887,531.406,4.93065
600,-26.014353581042926,775.989,7.76926
700,-18.741044045925062,486.259,4.45077
800,-22.129134092204854,545.784,3.79879
900,-30.972872303981404,1097.43,5.67702
1000,-23.317674690418247,597.672,8.27865
1100,-25.088795105734953,804.139,5.75702
1200,-19.349974813458495,459.656,7.06049
1300,-30.206070786040556,987.188,7.89039
1400,-23.002558453559871,627.687,4.57128
1500,-27.301921864405664,1052.46,8.84098
1600,-17.539466882453979,443.475,4.20315
1700,-26.72167209821556,913.66,5.74368
1800,-16.257299748442971,331.141,3.66704
1900,-23.703595454569157,750.272,5.44165
2000,-30.477745276771024,1226.03,8.96288
2100,-25.341084639915788,736.048,4.57166
2200,-27.223884602564976,940.287,6.10617
2300,-23.674375194021692,670.129,5.24244
2400,-19.696672720460324,483.169,4.44098
2500,-21.843935660604316,585.64,9.00814
2600,-23.690620774491034,681.672,5.40034
2700,-22.274080678698898,558.424,5.85931
2800,-26.348578725983412,907.018,6.67962
2900,-19.143972149235466,522.725,6.29229
3000,-29.967743793707619,1058.65,7.39507
3100,-26.485060527344864,801.877,6.53887
3200,-28.242860471172047,893.345,8.72693
3300,-30.867410843936003,1022.86,5.05518
3400,-36.640668993452607,1476.68,7.9004
3500,-21.239754481957835,512.662,4.68305
3600,-27.687797460777698,901.855,8.62448
3700,-29.433946114384575,1053.27,7.80509
3800,-17.921197298848639,386.831,4.96225
3900,-29.606827165109411,1017.38,4.21418
4000,-23.788095119883682,774.585,7.48491
4100,-29.993107094351426,946.672,6.21729
4200,-27.358786970012602,907.234,5.79381
4300,-16.756426082690567,345.616,6.14707
4400,-21.637047049185409,524.653,5.66489
4500,-26.439662293118744,774.598,5.99126
4600,-18.52881364308751,506.312,3.41202
4700,-26.107269162198218,756.2,3.70943
4800,-22.115809469436911,618.905,6.02324
4900,-24.981907890754449,839.631,4.33741
5000,-27.111074988708324,946.902,9.32035
5100,-25.609511934766424,837.764,5.20331
5200,-25.533280062214907,787.519,5.45011
5300,-20.891092122869836,543.87,4.98485
5400,-19.095000572220194,506.191,3.75373
5500,-26.268253391849697,919.536,6.08351
5600,-25.340871328919128,779.773,5.30253
5700,-29.615587237038522,1009.05,6.38136
5800,-27.895602255774993,926.908,5.08229
5900,-21.917258083038945,608.644,4.55034
6000,-26.902972613866805,866.951,4.31455
6100,-25.724300268816133,816.624,3.9219
6200,-21.919344075263925,552.043,6.898
6300,-20.914437556516283,559.733,4.38371
6400,-18.935748431647106,434.143,5.02545
6500,-19.038232843393885,476.767,5.08022
6600,-16.647524661474517,443.906,4.38929
6700,-26.463381478421976,829.639,5.10201
6800,-28.437981123181249,1068.7,7.75229
6900,-26.615762389613746,824.65,6.41506
7000,-25.869301056132318,720.216,4.28356
7100,-24.491763800070316,751.39,4.80649
7200,-24.931852220423767,776.051,9.19522
7300,-22.457355713070118,658.476,3.6883
7400,-21.096116489475694,524.523,4.34568
7500,-18.206222120422893,399.379,6.833
7600,-27.633805206602325,919.671,6.77215
7700,-22.956708088595846,638.106,5.56695
7800,-19.652177908108609,557.06,7.38983
7900,-18.17905471691661,535.429,5.0376
8000,-22.355446998853363,590.025,6.81768
8100,-18.832388634903026,461.496,6.0642
8200,-28.545194475498906,917.423,5.63283
8300,-22.8621963312738,673.484,5.19507
8400,-21.279768914730493,569.078,5.30638
8500,-21.618227864378742,759.189,6.55586
8600,-22.169512404395515,568.462,4.00275
8700,-18.05243149992674,412.87,4.81103
8800,-30.024441777710454,1076.57,6.84505
8900,-27.335766432998998,873.997,5.08564
9000,-23.835180803049276,665.608,7.15909
9100,-20.13239696362254,528.683,6.30225
9200,-26.034363053347906,750.183,7.17191
9300,-23.094838457565253,632.199,5.87757
9400,-20.363605424146741,585.39,5.28749
9500,-17.470023482456966,453.25,4.83578
9600,-22.856891159170161,602.675,4.29887
9700,-27.663357757792056,930.736,4.09851
9800,-15.867608799460184,322.933,4.4561
9900,-25.821797610826657,969.272,7.15931
10000,-28.026393457179111,965.574,6.2831
10100,-24.650097597655794,740.41,5.93585
10200,-21.099030069642296,565.183,6.16028
10300,-20.564513489207588,603.397,6.11805
10400,-20.583131650586903,513.691,4.17038
10500,-34.876730069103274,1386.47,8.44398
10600,-26.621054788953611,835.563,7.63651
10700,-26.164215551382675,869.44,3.79875
10800,-23.735198363152158,643.674,7.06333
10900,-27.523708958924718,826.375,8.49614
11000,-28.134780687214089,913.144,6.85522
11100,-17.332624851574106,439.96,7.60646
11200,-22.926621596732986,661.42,7.49545
11300,-26.786414277079452,856.689,5.7343
11400,-24.429059521633874,763.73,4.7323
11500,-17.809194694075327,434.756,4.64958
11600,-22.065300164279797,557.732,7.77602
11700,-26.050175004594642,756.949,5.33723
11800,-19.555049594511157,538.746,5.02693
11900,-26.046136403895549,873.79,4.48832
12000,-27.994891886232349,890.765,7.11991
12100,-19.588490325237689,630.075,3.24319
12200,-19.85942071539241,583.38,5.93965
12300,-22.129540889122506,558.321,4.97223
12400,-26.432914098391858,811.475,7.17031
12500,-28.755516973624466,1000.14,8.18164
12600,-24.657344402020595,794.113,3.42919
12700,-21.169010946309932,583.765,4.82629
12800,-29.22946673651461,992.438,5.89928
12900,-24.244768306589876,787.115,9.67581
13000,-25.721163661447772,915.227,5.73943
13100,-28.237285098412908,946.827,4.90871
13200,-22.66586127628031,685.157,7.74684
13300,-21.058444192405815,523.23,5.23242
13400,-20.42828734682821,519.953,5.60011
13500,-28.556882376761404,912.24,5.87808
13600,-27.331705610834611,937.169,5.28086
13700,-30.034347468721329,1088.28,6.19376
13800,-30.55439764347032,1230.78,7.7855
13900,-18.107993087036913,575.956,5.56756
14000,-19.127323464611855,531.915,5.1517
14100,-24.900885326514782,789.539,5.17301
14200,-19.772613714115433,571.362,5.68739
14300,-26.521164933799909,826.365,5.74508
14400,-30.040093760508089,967.694,6.0317
14500,-27.775079304470779,881.852,7.3852
14600,-25.217192950269514,693.958,7.24183
14700,-27.750712907579146,941.055,3.36945
14800,-24.294330313160199,777.542,4.4167
14900,-22.882240300581493,727.012,5.62813
15000,-18.641319182477499,526.647,2.73305
15100,-20.562022306814427,576.663,6.23379
15200,-30.381155318096273,1118.92,7.63731
15300,-24.426573340481355,818.24,7.39228
15400,-30.765127403016109,1151.71,6.03207
15500,-26.549680487519705,817.629,7.94155
15600,-20.225839276717423,528.506,6.00377
15700,-30.073357029407379,1051.86,5.43586
15800,-25.364843718066727,847.843,7.56754
15900,-24.007336016863775,751.047,8.00518
16000,-21.5373892808453,627.075,5.02236
16100,-25.498939044844033,773.578,6.01541
16200,-29.693899850962829,987.271,7.24964
16300,-26.558813490003871,861.99,5.06792
16400,-21.171404076204304,639.502,4.65207
16500,-21.462038639273974,613.825,4.70817
16600,-26.28329372221874,900.901,7.60253
16700,-25.237332210588988,787.466,6.90208
16800,-24.882876300717463,710.158,7.11685
16900,-22.669353799264339,677.196,8.09807
17000,-30.464302128895962,1047.05,7.76415
17100,-24.675460416663242,737.892,7.20978
17200,-23.925789978158779,725.937,4.63712
17300,-25.407377762664375,847.422,7.22767
17400,-23.890298500523446,782.475,6.02131
17500,-28.690984436547399,984.561,6.20157
17600,-26.033507280665031,867.081,6.95582
17700,-27.176818283309174,906.419,6.38246
17800,-22.685984024430304,731.241,4.22567
17900,-25.976304373674814,913.315,7.51317
18000,-20.029998901069874,510.32,3.06749
18100,-26.679231127515887,764.546,6.32858
18200,-31.236852168742981,1118.74,7.01982
18300,-22.85256552321578,756.999,5.32372
18400,-21.417656077906958,658.315,4.86685
18500,-21.313675064948949,547.004,4.30001
18600,-36.25829150146523,1465.11,8.222
18700,-22.032395766576229,629.776,6.14976
18800,-29.276617791042202,1070.43,8.21597
