Timestep,Average Reward,C Loss,M Loss
100,-7.5867467151434305,58.4825,0.972554
200,-6.7216130620438443,52.3989,2.0026
300,-6.695055157328861,41.7085,1.77781
400,-5.2574493885752949,28.8526,1.25217
500,-7.9550573021940876,63.1178,1.32989
600,-6.147926670389845,34.4244,1.26532
700,-5.1993002124681951,25.0687,1.4147
800,-7.3448944628047412,56.2808,0.874433
900,-6.211574926685091,41.2753,0.815672
1000,-9.2080013829369065,81.7926,1.48141
1100,-6.3054935848938234,38.4674,1.71618
1200,-6.0461810269739109,35.0293,0.740107
1300,-6.5744624368611753,45.0382,0.593305
1400,-8.4377514899020998,67.8594,1.44736
1500,-7.6652514091898611,57.7988,1.52496
1600,-5.1679102490231106,27.8373,1.87919
1700,-7.6734470341643295,54.1909,1.79713
1800,-5.4684997612530752,34.1157,1.42722
1900,-8.6161809726351706,74.7209,1.79379
2000,-5.8833095542365426,32.9182,1.18325
2100,-8.581434284519716,73.9366,2.00698
2200,-6.0765259665713218,37.8467,0.888542
2300,-6.0194439367418466,43.8722,1.50692
2400,-6.1987477571003327,38.9741,1.30451
2500,-7.2528840672061428,57.3524,1.44966
2600,-7.7006490416420768,62.5833,1.69285
2700,-6.0969220379152942,36.1456,1.40319
2800,-8.5686967689920106,72.5008,1.47489
2900,-7.4765870928628431,56.318,0.716476
3000,-6.961571032908946,47.7984,1.68903
3100,-4.3565689766593012,22.268,1.0374
3200,-6.6123696482993406,46.2629,1.37522
3300,-5.9825275320773468,40.2284,1.39188
3400,-6.173823914717846,42.4656,1.66917
3500,-8.8326559364619026,80.099,1.60293
3600,-6.7760030235747539,51.9389,2.18357
3700,-8.7802096930051228,81.6952,1.10382
3800,-6.1326137679996933,37.3102,0.969353
3900,-6.2750187699386002,37.8905,1.07296
4000,-9.4661281668985655,89.8665,2.18011
4100,-6.2415754949457929,42.5123,0.889869
4200,-5.3859644467392283,26.656,1.00527
4300,-5.711898639305975,40.2471,1.39672
4400,-6.4224143572086199,40.3095,0.606408
4500,-7.3222381076549183,62.093,1.5546
4600,-7.6673822110450587,62.4392,1.44153
4700,-6.6700735418673851,48.7499,1.31947
4800,-9.3344121696679903,81.6581,1.42347
4900,-5.0106638155058656,32.4812,0.791448
5000,-6.564913028493514,45.7777,1.45479
5100,-6.3381294401511141,49.4302,1.40688
5200,-7.2091234295910525,57.1726,1.1083
5300,-6.2761842517970754,43.6313,1.55813
5400,-5.860366900841802,36.6855,0.624457
5500,-5.0081292399426234,31.4667,1.11275
5600,-6.5710854214361518,45.4251,1.26697
5700,-6.5892593071985903,43.7634,1.64661
5800,-7.8241443824734187,61.9376,1.39059
5900,-7.027602628535047,55.9181,1.49607
6000,-6.590307157671023,42.2313,1.33901
6100,-5.5675645631914676,41.1767,0.900643
6200,-6.0136206144862818,37.2063,1.19336
6300,-7.6794322383525824,61.5461,1.37499
6400,-5.0501176354582196,35.3324,0.826048
6500,-6.9618855082758158,58.873,1.26797
6600,-7.6144353771360862,63.0888,1.37193
6700,-3.9498370409442018,16.8915,1.52736
6800,-7.4972036559061861,68.8568,1.15201
6900,-4.6090777856801282,23.8314,1.21206
7000,-6.1693822328369334,40.2736,1.19117
7100,-4.6574904445781211,25.7183,0.700084
7200,-4.6892261291597634,25.8758,1.39743
7300,-7.0556670395970196,56.2567,1.10465
7400,-7.378750659507106,57.3503,1.04879
7500,-5.5423182179256534,36.6661,1.14698
7600,-7.3487089858713901,62.8526,1.12683
7700,-6.3126270642282076,49.4467,0.701037
7800,-8.1552444121481003,75.1646,1.42663
7900,-6.1223104738393861,47.212,1.15929
8000,-7.4339822571441836,63.8881,1.33089
8100,-7.3037926695217523,68.8057,1.34096
8200,-6.0366011434675739,40.1569,1.59791
8300,-6.5864338335733636,52.6651,1.45073
8400,-9.7718237757149993,97.3733,1.86183
8500,-7.4052612140368925,60.8448,1.17109
8600,-8.1251773729471193,78.8718,1.06418
8700,-8.5212987226138637,85.5556,1.56437
8800,-8.659949502420984,82.1357,1.63743
8900,-5.4905581434330228,39.1944,0.803562
9000,-6.9319754719077151,59.195,1.65372
9100,-7.2104970609793346,60.9004,1.2354
9200,-5.8049892662224458,42.1093,1.16877
9300,-6.1987457516662996,51.6,1.80233
9400,-7.1818374145391957,60.2697,1.23834
9500,-8.778521171507272,85.5883,1.43838
9600,-6.2714980193402337,45.6463,1.57267
9700,-7.0528514923259449,56.9214,1.52949
9800,-5.6482116225080281,42.3221,1.44556
9900,-8.0287428787107356,69.1984,1.18631
10000,-7.7606277484653914,70.3289,1.36129
10100,-5.6291632511900662,37.682,1.177
10200,-5.9275573782573181,40.1622,0.652982
10300,-5.8020501343997219,36.6023,1.39812
10400,-7.9803538981205291,67.143,1.20804
10500,-5.5167419138719644,31.5653,1.37503
10600,-5.802324310189416,42.801,1.00257
10700,-4.7429092823411283,32.1884,0.924601
10800,-6.3233175327722986,43.6391,1.2002
10900,-6.8631049852940587,57.1934,1.63297
11000,-6.6744864849386882,54.0871,1.00195
11100,-6.2814601938196146,47.9576,0.962533
11200,-8.3215183312617516,81.3357,1.74796
11300,-7.2455923326329357,65.0454,1.79911
11400,-7.6516144796834977,68.7684,1.28395
11500,-7.2148181944809728,63.8294,0.886817
11600,-6.4156956446618505,55.499,1.96216
11700,-6.778440861263638,60.3055,1.81172
11800,-5.1738434879934889,34.5336,1.40702
11900,-7.243261587220128,68.8963,1.638
12000,-6.5302569408581288,59.3194,1.71177
12100,-5.6561704873542702,43.2929,1.4102
12200,-4.9219898645493707,33.8904,0.915576
12300,-6.2490624958128205,50.3337,1.46633
12400,-7.4683386741127915,65.8464,1.70056
12500,-5.9294309598479185,48.1038,1.13804
12600,-5.3581537529395185,35.0335,0.9831
12700,-4.8073374555049515,37.7936,0.792784
12800,-5.4313921903561928,47.1035,0.77937
12900,-6.2595335029098864,47.2976,1.16574
13000,-6.7920725898904344,63.6561,1.35
13100,-3.9135382948633879,22.2261,0.829671
13200,-6.8427038713632768,60.2984,1.0287
13300,-5.9645487186889694,46.9532,1.27953
13400,-5.5625293682371932,41.9677,1.44935
13500,-6.4842241065974191,54.9883,1.19291
13600,-6.2550701966117073,50.8493,0.969885
13700,-8.8483159902811437,92.5028,1.41307
13800,-4.4202834037960903,24.9648,1.50558
13900,-6.0658272248818523,49.1822,0.989004
14000,-8.233847959397707,83.8502,1.22562
14100,-4.434423087286091,24.4935,1.03725
14200,-8.2863415211006046,78.6163,1.51225
14300,-6.3706073368442855,51.6085,0.849245
14400,-9.007472955058919,87.7635,1.75938
14500,-5.5370447117972894,41.8549,0.996577
14600,-7.7605553973425092,68.8832,1.1124
14700,-7.976430014525679,76.5741,1.36556
14800,-7.3884705613214532,68.0819,1.44246
14900,-8.7343056616245569,90.6218,1.93426
15000,-5.8490507675353545,41.2457,0.850959
15100,-6.3496985309172018,51.7879,1.41672
15200,-6.2727287673155168,47.0761,1.13943
15300,-4.4041712092711665,23.0861,1.22553
15400,-7.0083479793318189,59.0618,1.66759
15500,-6.4477241358588673,52.3519,1.54689
15600,-5.1473555095344201,35.4651,1.49389
15700,-8.5614638352762871,82.0499,1.64471
15800,-9.1351052258052725,98.6853,1.45055
15900,-6.7507093410601362,66.6724,1.33685
16000,-7.0243095439543586,59.1733,1.4955
16100,-5.809249573725106,41.2442,1.02891
16200,-5.2358477779565105,33.0227,0.978124
16300,-8.2398651044734752,82.1112,1.27842
16400,-5.8798478808227514,49.4368,0.947599
16500,-5.9947034551648963,44.5289,1.23353
16600,-6.547849396088834,54.6412,1.25685
16700,-7.7421627630234982,70.8006,1.20796
16800,-5.8174175453441652,42.3253,1.13456
16900,-7.0462637366545247,70.4833,1.15426
17000,-7.8352537151908255,74.7093,1.13574
17100,-5.6182546744579964,41.696,1.44866
17200,-6.5940412492522604,54.3057,0.653538
17300,-8.6451299187008921,83.8329,1.79922
17400,-6.0083850776278176,51.2835,0.857137
17500,-8.0481779782779412,76.9851,1.39098
17600,-7.6992556650018527,73.5162,1.1388
17700,-7.3943746469832368,64.2108,1.50969
17800,-8.924178849294254,96.0113,1.22396
17900,-6.4989511870447574,55.67,0.956298
18000,-6.7440381352462611,54.571,1.1921
18100,-5.7651664819377446,47.6645,1.3178
18200,-5.3111691173284408,43.5814,0.946294
18300,-6.5234266547532158,55.4136,1.12979
18400,-6.9963598713217889,60.305,1.19192
18500,-7.4843955132982281,70.0271,1.54368
18600,-6.8587552954399946,55.5654,1.02363
18700,-8.6095733546299282,85.755,1.51547
18800,-7.0979616903207319,63.2643,1.20563
18900,-5.6953354913887209,40.2397,0.962327
19000,-5.7482007019691794,41.2034,1.10853
19100,-5.0031625763516505,38.5779,0.76568
19200,-7.6262213985635876,70.2857,0.99722
19300,-8.529209020071292,86.3599,1.34332
19400,-8.5727496525943199,80.2778,1.40878
19500,-5.3245794060391889,34.4753,0.953577
19600,-5.8677050475730423,43.1017,1.06417
19700,-9.3502671745553769,95.9051,1.38278
19800,-7.5976971858930975,74.8916,0.995377
19900,-7.5526194439935637,69.4321,0.927552
20000,-8.5776013204962069,88.8551,1.83917
20100,-7.3750564114757653,69.6159,1.34347
20200,-7.0445886104002104,58.8107,1.03046
20300,-6.1949756694331732,51.8826,1.25954
20400,-6.5823939788190842,53.8349,1.16039
20500,-6.2136216951274692,45.3137,0.645603
20600,-5.291936696854199,32.9841,0.689958
