Timestep,Average Reward,C Loss,M Loss
100,-1185.0914806560452,2.06612e+06,0
200,-1748.52195423186,3.81467e+06,0
300,-2061.3266227453141,5.64834e+06,0
400,-1368.0778213202461,2.62643e+06,0
500,-1587.8963702843228,3.53505e+06,0
600,-1893.527863872956,4.6511e+06,0
700,-1766.7858087666016,4.25446e+06,0
800,-1478.7715497025592,3.22994e+06,0
900,-1967.4993518415652,4.86007e+06,0
1000,-1513.7705863637834,3.20916e+06,0
1100,-1850.354254834469,4.57128e+06,0
1200,-2112.329475876837,5.60355e+06,0
1300,-2098.0016385729205,5.09848e+06,0
1400,-1330.0619036638768,2.73132e+06,0
1500,-2171.6807301594818,5.56086e+06,0
1600,-1172.5262750777663,2.01367e+06,0
1700,-1791.1265731888568,4.22919e+06,0
1800,-1751.3894986424375,3.72488e+06,0
1900,-1576.368628564753,3.37319e+06,0
2000,-1632.8682037361641,3.40509e+06,0
2100,-1308.331611482784,2.65522e+06,0
2200,-1767.6774739746661,4.03296e+06,0
2300,-2141.0279169752007,5.76065e+06,0
2400,-1866.2244065225375,4.85204e+06,0
2500,-1872.5582949942991,4.78555e+06,0
2600,-2180.4390933972218,6.36363e+06,0
2700,-1713.9053624444839,3.91346e+06,0
2800,-1254.1413423640804,2.41687e+06,0
2900,-2038.6931375334482,5.04022e+06,0
3000,-2242.1633066055401,6.03457e+06,0
3100,-2108.487139255526,5.56801e+06,0
3200,-1307.2144934283092,2.45348e+06,0
3300,-1406.4635578682992,2.86858e+06,0
3400,-1780.3195106346229,3.78186e+06,0
3500,-1406.3124973570436,2.81759e+06,0
3600,-2182.2573182441497,5.91015e+06,0
3700,-2072.2227131858326,5.1425e+06,0
3800,-2057.1196356847172,5.63277e+06,0
3900,-1547.2720652014423,3.21709e+06,0
4000,-1946.1678717718062,4.97061e+06,0
4100,-1970.3331282668723,5.12677e+06,0
4200,-1386.8774736321775,3.09387e+06,0
4300,-1180.3900846713846,1.8916e+06,0
4400,-1173.4421899565164,2.20064e+06,0
4500,-1593.3010736832869,3.30626e+06,0
4600,-1520.926341730793,2.77437e+06,0
4700,-1380.2255947519939,2.45571e+06,0
4800,-1432.5762930370731,2.91746e+06,0
4900,-1950.6322965035731,5.01413e+06,0
5000,-1593.0178090820718,3.66133e+06,0
5100,-1494.9821871008876,3.43533e+06,0
5200,-1742.7156937933878,4.12327e+06,0
5300,-2025.4457179923918,4.83508e+06,0
5400,-1482.3280752300686,3.67175e+06,0
5500,-1577.1635697277522,3.29759e+06,0
5600,-1915.2316525532897,4.50412e+06,0
5700,-1924.450306711416,4.53023e+06,0
5800,-1787.3430023284036,4.17574e+06,0
5900,-2141.2185958416153,5.67112e+06,0
6000,-1234.5918063474637,2.28282e+06,0
6100,-1731.2850351419356,3.89637e+06,0
6200,-1778.1109935229688,4.17194e+06,0
6300,-1203.5910863772206,2.21687e+06,0
6400,-1868.5196812072979,4.49202e+06,0
6500,-1708.3398352713725,3.6533e+06,0
6600,-1862.3215476782657,4.44414e+06,0
6700,-1486.513724341374,2.87532e+06,0
6800,-1705.1727459777874,3.94433e+06,0
6900,-1984.7981097804836,5.10287e+06,0
7000,-1861.7035457983166,4.52461e+06,0
7100,-1737.7329873122551,3.8453e+06,0
7200,-1636.3527950326741,3.77178e+06,0
7300,-1709.2083215263708,4.25164e+06,0
7400,-1917.0721171305458,5.01038e+06,0
7500,-1949.8801525630711,5.088e+06,0
7600,-1966.9919113280953,4.8032e+06,0
7700,-1625.7115876018881,3.34578e+06,0
7800,-1754.9097195366353,4.51111e+06,0
7900,-1705.9769122124083,3.649e+06,0
8000,-1952.1020482828421,4.7205e+06,0
8100,-2039.5553086746243,5.39272e+06,0
8200,-1659.54114854763,3.86641e+06,0
8300,-1767.2618009687767,3.76048e+06,0
8400,-1909.5249619678493,4.73662e+06,0
8500,-1843.5012063684862,4.33817e+06,0
8600,-1465.5498230127605,2.95837e+06,0
8700,-1728.9179778750668,3.92507e+06,0
8800,-1599.4300896914276,3.38848e+06,0
8900,-1431.1996877890799,2.77201e+06,0
9000,-1757.9555199366205,4.56063e+06,0
9100,-1855.1164561025403,4.38037e+06,0
9200,-1409.8136832681528,2.64254e+06,0
9300,-2275.4172158054703,6.36228e+06,0
9400,-1585.6984041484745,3.44596e+06,0
9500,-1423.1595493441635,2.92784e+06,0
9600,-1847.3652160023144,4.45851e+06,0
9700,-1073.9294007298467,1.79069e+06,0
9800,-1706.9214280110775,3.64909e+06,0
