Timestep,Average Reward,C Loss,M Loss
10,-3.8890619449903374,15.2894,0
20,-1.8966229485508488,6.55384,0
30,-6.799822152787196,45.4788,0
40,-8.4010001889785855,71.6209,0
50,-4.9825576054569165,24.4944,0
60,-1.8882687541337304,4.07812,0
70,-4.367748900615676,17.989,0
80,-4.0107641814062394,17.7778,0
90,-7.5813803360640764,57.8486,0
100,-4.6855006241728114,20.9675,0.874881
110,-3.9720854151326295,17.3921,0.874881
120,-9.7140803014117427,94.7252,0.874881
130,-9.293855865140392,88.9378,0.874881
140,-4.344219310439045,18.3672,0.874881
150,-4.6530803094560875,30.5194,0.874881
160,-13.040236923450289,169.944,0.874881
170,-11.851737783308533,138.176,0.874881
180,-5.2009564800314276,35.0814,0.874881
190,-12.373656597103684,152.817,0.874881
200,-9.7528162662475033,95.9903,1.47774
210,-7.4056781814663664,57.8989,1.47774
220,-2.25997256656879,5.20586,1.47774
230,-4.3002836004964333,22.3528,1.47774
240,-10.254747747091866,104.521,1.47774
250,-9.232374456437487,90.8638,1.47774
260,-2.0420303475360941,4.18812,1.47774
270,-5.3008208540019641,43.9598,1.47774
280,-15.956191562204944,268.327,1.47774
290,-3.8721219498958264,17.2022,1.47774
300,-8.0087944495712193,68.3877,0.950527
310,-1.8011941498358628,3.12404,0.950527
320,-2.2979342851659768,11.2909,0.950527
330,-9.6430606976600295,94.598,0.950527
340,-5.7489897994098431,33.905,0.950527
350,-7.9031238277271054,59.064,0.950527
360,-9.0317575509095427,79.5129,0.950527
370,-9.6951557768120171,95.2303,0.950527
380,-5.4278479163193101,29.6166,0.950527
390,-3.9726708347328037,15.6047,0.950527
400,-4.1618507580186757,17.216,1.09314
410,-4.7115218671926336,22.8839,1.09314
420,-3.1114513358497851,14.9248,1.09314
430,-9.9339952461899266,98.3596,1.09314
440,-7.470459295569059,54.7239,1.09314
450,-5.5266507670108611,39.1236,1.09314
460,-14.619058341852803,212.337,1.09314
470,-12.795501270859663,162.28,1.09314
480,-8.6030637331926236,79.779,1.09314
490,-0.71965931473157363,1.51762,1.09314
500,-4.2335771747207547,21.4613,0.984471
510,-10.037408480696275,98.9532,0.984471
520,-7.5802600556557609,58.2903,0.984471
530,-5.0001252711939186,27.5931,0.984471
540,-1.1629113150413972,7.16118,0.984471
550,-8.3658957830722152,68.2313,0.984471
560,-11.825693853191597,140.045,0.984471
570,-11.38337587292923,129.065,0.984471
580,-11.687957945294153,143.919,0.984471
590,-4.2202816332631921,27.0967,0.984471
600,-12.795059460707034,174.924,1.33109
610,-2.9131128231710024,8.58802,1.33109
620,-5.5064283290235467,29.0672,1.33109
630,-5.2125034366799303,25.9799,1.33109
640,-8.6640588828152296,74.3005,1.33109
650,-5.6108864670482763,31.7246,1.33109
660,-8.0346846961672558,68.0421,1.33109
670,-14.834773246475422,219.976,1.33109
680,-11.234956483248059,126.765,1.33109
690,-9.1673501138506417,82.9657,1.33109
700,-7.8501130438363678,68.0992,1.22555
710,-0.90248589354518549,4.77383,1.22555
720,-6.437286923988462,41.2632,1.22555
730,-5.1236752855180789,29.648,1.22555
740,-8.4067396065130495,73.6645,1.22555
750,-4.1340027209266923,21.7951,1.22555
760,-10.912516406116547,119.512,1.22555
770,-8.5384022949245644,76.1865,1.22555
780,-3.158996858054993,10.6155,1.22555
790,-6.4365484202785215,43.3211,1.22555
800,-9.143476320090425,92.4575,1.12297
810,-0.98887565434671498,7.21314,1.12297
820,-8.4274000156606057,73.7015,1.12297
830,-4.1111900069695668,18.4775,1.12297
840,-0.76390320800448497,3.2959,1.12297
850,-5.1483022300639609,26.3128,1.12297
860,-3.7030502880412066,14.0073,1.12297
870,-4.7372344033219562,22.4448,1.12297
880,-3.0125054603657895,9.79738,1.12297
890,-5.030384094160496,29.0673,1.12297
900,-11.149444521418879,129.888,1.01417
910,-4.5707635725684259,20.44,1.01417
920,-3.4087884162476789,12.2044,1.01417
930,-0.64260333471690634,0.859203,1.01417
940,-3.1742856823276981,10.7168,1.01417
950,-4.2052618149052776,16.9184,1.01417
960,-3.4929522762147505,19.5552,1.01417
970,-10.763113257784678,118.93,1.01417
980,-5.1562397607436576,27.35,1.01417
990,-2.9801449374536859,8.50628,1.01417
1000,-3.9188095442056019,15.7313,0.798393
1010,-2.5561389700833539,6.6092,0.798393
1020,-1.4449722489136865,2.06304,0.798393
1030,-2.5234704273431725,11.4342,0.798393
1040,-9.6588642170511108,95.4497,0.798393
1050,-13.642939422056108,202.096,0.798393
1060,-1.4345265953762671,2.05104,0.798393
1070,-1.6091361124372461,4.43945,0.798393
1080,-5.8518233095718895,34.8742,0.798393
1090,-3.6776292683409162,16.5838,0.798393
1100,-8.0671402518322477,72.0419,0.82768
1110,-0.69772587253901597,4.50344,0.82768
1120,-7.3556707949819211,59.6244,0.82768
1130,-13.679874170648214,188.202,0.82768
1140,-9.9385796566183942,98.5384,0.82768
1150,-9.3785732006125979,88.0882,0.82768
1160,-11.848429353144777,142.161,0.82768
1170,-7.6854440577041547,59.214,0.82768
1180,-9.7733320635647374,95.7366,0.82768
1190,-7.8877808263405331,62.4585,0.82768
1200,-9.2626066322137977,89.5191,0.971663
1210,-3.6661325962321469,13.7011,0.971663
1220,-3.126757887698981,18.3277,0.971663
1230,-12.683390294471661,163.311,0.971663
1240,-16.8282418243416,293.356,0.971663
1250,-6.5823051835508455,44.3181,0.971663
1260,-3.3428587078439547,11.5035,0.971663
1270,-5.7865333810235908,33.9917,0.971663
1280,-7.6769028540898745,61.8958,0.971663
1290,-2.524452603603629,6.30621,0.971663
